PrecinctID,PrecinctPop,DemocratP,GreenP,LibertarianP,OtherPartiesP,RepublicanP,UnaffiliatedP
24003003-011,2295,0.268845,0.00217865,0.00784314,0.00305011,0.512854,0.205229
24003003-012,2184,0.278846,0,0.00641026,0.00412088,0.5087,0.201923
24003003-013,2246,0.261799,0.00267142,0.0102404,0.00267142,0.524933,0.197685
24003003-014,1645,0.328267,0.00303951,0.00790274,0.00364742,0.448024,0.209119
24003003-015,1517,0.264997,0.00131839,0.00527357,0.00329598,0.543837,0.181279
24003003-016,2109,0.330014,0.00237079,0.00853485,0.00379327,0.41394,0.241347
24003003-017,1977,0.300961,0,0.00556399,0.00404654,0.489125,0.200303
24003003-018,2543,0.299253,0.00196618,0.00747149,0.00393236,0.492725,0.194652
24003003-019,2008,0.263446,0.000996016,0.00896414,0.00498008,0.520418,0.201195
24003003-020,1674,0.307049,0.00298686,0.00298686,0.00179211,0.490442,0.194743
24003003-021,2534,0.348066,0.0023678,0.00789266,0.00315706,0.399369,0.239148
24003003-022,1742,0.367394,0.00172216,0.00574053,0.00172216,0.427095,0.196326
24003003-023,1656,0.332729,0,0.0108696,0.00241546,0.464976,0.18901
24003003-024,2359,0.357779,0.00296736,0.00932599,0.00423908,0.381094,0.244595
24003003-025,1906,0.53043,0.00104932,0.00734523,0.00314795,0.265477,0.19255
24003004-001,2024,0.625988,0.00197628,0.00839921,0.00395257,0.157609,0.202075
24003004-002,2699,0.443127,0.00222305,0.00778066,0.00407558,0.276399,0.266395
24003004-003,1865,0.359249,0.00214477,0.0080429,0.00482574,0.383378,0.242359
24003004-004,2173,0.331339,0.000920387,0.0110446,0.00322135,0.464795,0.188679
24003004-005,1390,0.451799,0.000719424,0.00503597,0.00359712,0.285612,0.253237
24003004-006,2790,0.724373,0.00143369,0.00573477,0.00358423,0.0799283,0.184946
24003004-007,2918,0.522961,0.0027416,0.0143934,0.00479781,0.196367,0.258739
24003004-008,2029,0.380976,0.00295712,0.00542139,0.00394283,0.378512,0.228191
24003004-009,3032,0.655343,0.00197889,0.00329815,0.00296834,0.125,0.211412
24003004-010,706,0.467422,0.00141643,0.00141643,0.00849858,0.347025,0.174221
24003004-011,1811,0.51132,0.00220872,0.00552181,0.00165654,0.241303,0.23799
24003004-012,1892,0.42759,0.00264271,0.00792812,0.00422833,0.310254,0.247357
24003004-013,1783,0.312956,0.00336511,0.00673023,0.00336511,0.453169,0.220415
24003004-014,1941,0.333333,0.0010304,0.0108192,0.00412159,0.425554,0.225142
24003004-015,2693,0.343854,0.002228,0.00891199,0.00259933,0.411808,0.230598
24003004-016,2054,0.451315,0.00146056,0.00778968,0.00389484,0.272639,0.262902
24003004-017,2033,0.593704,0.00393507,0.0113133,0.00688637,0.175111,0.209051
24003004-018,2229,0.473755,0.0013459,0.00538358,0.00314042,0.297443,0.218932
24003004-019,1957,0.66326,0.00102197,0.00613183,0.00255493,0.105263,0.221768
24003004-020,2041,0.465948,0.00195982,0.0102891,0.00685938,0.298383,0.216561
24003004-021,3188,0.396801,0.00282309,0.00784191,0.00345044,0.358846,0.230238
24003004-022,1995,0.499749,0.00401003,0.0085213,0.00300752,0.263659,0.221053
24003004-023,3220,0.408385,0.000310559,0.0068323,0.00434783,0.341615,0.238509
24003004-024,2243,0.614802,0.00267499,0.00445831,0.00356665,0.149799,0.224699
24003004-025,310,0.480645,0.00322581,0.0129032,0.00322581,0.222581,0.277419
24003004-026,813,0.538745,0,0.0098401,0.00369004,0.202952,0.244772
24003005-001,2304,0.345052,0.00173611,0.0078125,0.00173611,0.443576,0.200087
24003005-002,2497,0.393272,0.00280336,0.010813,0.00240288,0.375651,0.215058
24003005-003,1960,0.339286,0.00153061,0.00510204,0.00408163,0.421429,0.228571
24003005-004,2109,0.369369,0.00379327,0.00806069,0.00379327,0.387387,0.227596
24003005-005,2019,0.382368,0.00198118,0.00495295,0.00346706,0.398217,0.209014
24003005-006,1682,0.373365,0.00297265,0.00416171,0.00237812,0.44352,0.173603
24003005-007,1678,0.297378,0.00238379,0.00893921,0.00357569,0.492253,0.195471
24003005-008,2077,0.355802,0.00385171,0.00674049,0.00577756,0.409726,0.218103
24003005-009,1266,0.337283,0.00552923,0.007109,0.00473934,0.434439,0.2109
24003005-010,1087,0.317387,0,0.00459982,0.00183993,0.448942,0.227231
24003005-011,1877,0.389451,0.000532765,0.00745871,0.00372936,0.379329,0.219499
24003005-012,1494,0.303213,0.00468541,0.00870147,0.00401606,0.461847,0.217537
24003005-013,1892,0.33351,0.00317125,0.00634249,0.00317125,0.451374,0.202431
24003005-014,1996,0.338176,0.00350701,0.00851703,0.00501002,0.428357,0.216433
24003005-015,1085,0.297696,0,0.0101382,0.00184332,0.461751,0.228571
24003005-016,1456,0.37706,0.00412088,0.00480769,0.00137363,0.425137,0.1875
24003005-017,2227,0.363718,0.00314324,0.0121239,0.00224517,0.38123,0.237539
24003005-018,1990,0.4,0.00301508,0.00603015,0.00201005,0.361809,0.227136
24003005-019,1665,0.326727,0.0024024,0.00600601,0.000600601,0.47988,0.184384
24003005-020,1959,0.392547,0.00102093,0.00612557,0.00306279,0.397652,0.199592
24003005-021,2750,0.355636,0.000363636,0.0130909,0.00218182,0.401455,0.227273
24003005-022,2156,0.348794,0.00139147,0.00602968,0.00185529,0.408163,0.233766
24003005-023,1379,0.382886,0.00145033,0.00362582,0.00145033,0.422045,0.188542
24003005-024,1650,0.292727,0,0.00727273,0.00424242,0.479394,0.216364
24003005-025,1904,0.321954,0.00210084,0.00787815,0.00262605,0.450105,0.215336
24003005-026,3561,0.379669,0.00196574,0.00870542,0.0042123,0.374614,0.230834
24003005-027,1910,0.335602,0.00052356,0.0078534,0.00471204,0.402618,0.248691
24003005-028,976,0.392418,0.00102459,0.0122951,0.00204918,0.400615,0.191598
24003005-029,880,0.355682,0.00113636,0.00681818,0.00113636,0.423864,0.211364
24003005-030,1102,0.334846,0.00272232,0.0108893,0.000907441,0.450998,0.199637
24003005-031,646,0.399381,0,0.00154799,0,0.421053,0.178019
24003005-032,872,0.502294,0.00114679,0.00688073,0.00688073,0.279817,0.202982
24003005-033,1768,0.288462,0.00169683,0.0050905,0.00169683,0.502262,0.200792
24003005-034,1192,0.338926,0.00251678,0.00922819,0,0.437919,0.211409
24003005-035,178,0.342697,0,0.0168539,0,0.47191,0.168539
24003006-001,2612,0.487366,0.00114855,0.00727412,0.00612557,0.296708,0.201378
24003006-002,1867,0.442957,0.00267809,0.00482057,0.00267809,0.337975,0.208891
24003006-003,1528,0.715314,0.00065445,0.00719895,0.0013089,0.125654,0.149869
24003006-004,771,0.603113,0.00259403,0.0142672,0.00259403,0.171206,0.206226
24003006-005,1387,0.424658,0.00216294,0.00432588,0.00432588,0.364816,0.199712
24003006-006,1229,0.681855,0.00081367,0.0081367,0.00325468,0.113914,0.192026
24003006-007,1122,0.545455,0.00178253,0.00534759,0.0124777,0.240642,0.194296
24003006-008,1772,0.515801,0.00564334,0.013544,0.003386,0.259594,0.202032
24003006-009,1762,0.437003,0.00283768,0.00681044,0.00170261,0.335414,0.216232
24003006-010,1374,0.39738,0.00291121,0.00946143,0.00436681,0.370451,0.215429
24003006-011,1365,0.460806,0.0021978,0.00512821,0.00879121,0.286447,0.23663
24003006-012,2076,0.570809,0.00529865,0.00963391,0.00529865,0.228324,0.180636
24003006-013,1281,0.615144,0.00234192,0.00468384,0.00624512,0.200625,0.17096
24003006-014,2292,0.680192,0.0013089,0.0030541,0.0047993,0.156195,0.15445
24003006-015,1490,0.556376,0.000671141,0.00536913,0.00469799,0.22953,0.203356
24003006-016,1145,0.641048,0.00174672,0.00349345,0.0069869,0.173799,0.172926
24003006-017,2052,0.488791,0.00292398,0.00682261,0.0082846,0.288012,0.205166
24003006-018,2108,0.463472,0.00237192,0.00426945,0.00664137,0.324478,0.198767
24003006-019,2691,0.383501,0.00371609,0.00594575,0.00297287,0.390561,0.213304
24003006-020,1468,0.43733,0,0.0027248,0.00613079,0.391689,0.162125
24003006-021,942,0.366242,0,0.00955414,0.00212314,0.427813,0.194268
24003006-022,2280,0.398246,0.000438596,0.0122807,0.00482456,0.338596,0.245614
24003006-023,1654,0.452237,0.00302297,0.00906892,0.00181378,0.307134,0.226723
24003006-024,1704,0.519366,0.00234742,0.00762911,0.00293427,0.253521,0.214202
24003006-025,1669,0.398442,0.00239664,0.00299581,0.00119832,0.401438,0.193529
24003006-026,3040,0.345066,0.00131579,0.00526316,0.00559211,0.419408,0.223355
24003006-027,1031,0.325897,0.0029098,0.0029098,0.00581959,0.466537,0.195926
24003006-028,1697,0.34119,0.00294638,0.00766058,0.00176783,0.439599,0.206836
24003006-029,1144,0.375874,0.00437063,0.00961538,0.00524476,0.434441,0.170455
24003006-030,1822,0.444018,0.00274424,0.00603732,0.00219539,0.342481,0.202525
24003006-031,1504,0.319814,0,0.00531915,0.00332447,0.466755,0.204787
24003006-032,1583,0.379027,0.00379027,0.00694883,0.00379027,0.375237,0.231207
24003007-001,2802,0.330835,0.00178444,0.00678087,0.00356888,0.432191,0.224839
24003007-002,2511,0.348068,0.00238949,0.00557547,0.000398248,0.42732,0.216249
24003007-003,1783,0.419518,0.00280426,0.00897364,0.00168256,0.346607,0.220415
24003007-004,1722,0.356562,0.00348432,0.00696864,0.0058072,0.439605,0.187573
24003007-005,3565,0.356241,0.00420757,0.00869565,0.00364656,0.379804,0.247405
24003007-006,3141,0.30086,0.00254696,0.00891436,0.00286533,0.459726,0.225088
24003007-007,2434,0.313065,0.00410846,0.00575185,0.00205423,0.461791,0.213229
24003007-008,2153,0.383651,0.00418021,0.00464468,0.00371575,0.397585,0.206224
24003007-009,2484,0.43599,0.00201288,0.00925926,0.00362319,0.335346,0.213768
24003007-010,2366,0.304311,0.00295858,0.00676247,0.00211327,0.455621,0.228233
24003007-011,823,0.27339,0,0.0036452,0.0036452,0.524909,0.194411
24003007-012,1301,0.345119,0.00461184,0.00614912,0.00307456,0.429669,0.211376
24003007-013,2230,0.304036,0.000896861,0.00852018,0.00672646,0.449327,0.230493
24003007-014,1547,0.373626,0.000646412,0.0051713,0.00258565,0.381383,0.236587
24003007-015,2046,0.363148,0.00342131,0.00733138,0.00195503,0.379277,0.244868
24003007-016,2064,0.459787,0.00290698,0.00968992,0.00290698,0.290213,0.234496
24003007-017,1247,0.372093,0.000801925,0.00801925,0.00561347,0.372093,0.241379
24003007-018,2138,0.371843,0.00233863,0.00467727,0.00233863,0.371375,0.247428
24003007-019,1430,0.297203,0.000699301,0.00629371,0.0013986,0.486014,0.208392
24003007-020,1796,0.437639,0.00222717,0.00668151,0.00612472,0.298998,0.24833
24003007-021,2505,0.33014,0.00159681,0.00439122,0.00159681,0.471856,0.190419
24003007-022,2411,0.308171,0.000829531,0.00705102,0.00373289,0.467441,0.212775
24003007-023,2829,0.333333,0.00141393,0.00530223,0.00212089,0.438317,0.219512
24003007-024,2368,0.340372,0.000844595,0.00886824,0.00337838,0.412162,0.234375
24003007-025,2191,0.345504,0.00228206,0.0104975,0.00410771,0.419443,0.218165
24003007-026,2103,0.340466,0.00190204,0.00665716,0.00190204,0.433666,0.215407
24003007-027,3004,0.326897,0.000998668,0.00532623,0.00233023,0.444407,0.22004
24510001-001,1387,0.626532,0.00720981,0.00793079,0.00288392,0.152127,0.203317
24510001-002,1912,0.637552,0.00470711,0.00470711,0.00523013,0.133891,0.213912
24510001-003,1602,0.524345,0.00062422,0.011236,0.00499376,0.234707,0.224095
24510001-004,2216,0.525271,0.00135379,0.0108303,0.00270758,0.24639,0.213448
24510001-005,2832,0.510946,0.00388418,0.00812147,0.0045904,0.251412,0.221045
24510002-001,1035,0.657971,0.00193237,0.00676329,0.00386473,0.114976,0.214493
24510002-002,1571,0.622533,0.00763845,0.0101846,0.00827498,0.14895,0.202419
24510002-003,2498,0.555244,0.00320256,0.00720576,0.00440352,0.177742,0.252202
24510003-001,1444,0.808172,0.00138504,0.00277008,0.00692521,0.0554017,0.125346
24510003-002,698,0.7149,0.00286533,0.00429799,0.00143266,0.0959885,0.180516
24510003-003,1604,0.57606,0.00187032,0.0074813,0.00810474,0.172693,0.233791
24510004-001,993,0.653575,0.00100705,0.0100705,0.00503525,0.11279,0.217523
24510004-002,2298,0.64926,0.00739774,0.00957354,0.00565709,0.104874,0.223238
24510004-003,524,0.879771,0.0019084,0,0.00572519,0.0267176,0.0858779
24510005-001,1324,0.85423,0.00453172,0.00151057,0.00453172,0.0468278,0.0883686
24510005-002,121,0.876033,0,0,0.00826446,0.0247934,0.0909091
24510006-001,1207,0.819387,0.0057995,0.0008285,0.0091135,0.0555095,0.109362
24510006-002,697,0.806313,0,0.00430416,0.00286944,0.0688666,0.117647
24510006-003,438,0.849315,0,0,0.00456621,0.043379,0.10274
24510006-004,1132,0.714664,0.00530035,0.00441696,0.00265018,0.0848057,0.188163
24510006-005,2491,0.71658,0.00281012,0.00963468,0.00481734,0.0883179,0.17784
24510007-001,1044,0.854406,0.00383142,0.00191571,0.00574713,0.0421456,0.091954
24510007-002,276,0.793478,0.00362319,0.00362319,0,0.0507246,0.148551
24510007-003,2032,0.850394,0.00492126,0.00246063,0.00688976,0.0408465,0.0944882
24510007-004,2007,0.852018,0.00149477,0.000498256,0.00597907,0.0378675,0.102143
24510008-001,76,0.842105,0,0,0,0.0921053,0.0657895
24510008-002,1404,0.860399,0.00498575,0.0014245,0.00498575,0.042735,0.0854701
24510008-003,1614,0.865551,0.00247831,0.000619579,0.00371747,0.0415118,0.0861214
24510008-004,404,0.844059,0.0049505,0.00247525,0.00247525,0.0544554,0.0915842
24510008-005,1522,0.878449,0.00197109,0.00065703,0.00197109,0.0335085,0.0834428
24510008-006,2044,0.878669,0,0.00391389,0.00342466,0.0420744,0.0719178
24510008-007,1499,0.898599,0.00200133,0.00133422,0.00133422,0.0313542,0.0653769
24510008-008,882,0.781179,0.00453515,0.00113379,0.00566893,0.102041,0.105442
24510008-009,71,0.873239,0,0,0.028169,0.0140845,0.084507
24510008-010,2691,0.901524,0.00297287,0,0.00185805,0.0274991,0.0661464
24510008-011,496,0.854839,0.00403226,0.00201613,0.0100806,0.0423387,0.0866935
24510009-001,634,0.869085,0.00473186,0.00315457,0.00157729,0.0425868,0.0788644
24510009-002,952,0.848739,0.00735294,0.0052521,0,0.039916,0.0987395
24510009-003,1278,0.8482,0.00704225,0.00469484,0.00391236,0.0367762,0.099374
24510009-004,2058,0.851312,0.00437318,0.000971817,0.00388727,0.0393586,0.100097
24510009-005,1618,0.86403,0.00494438,0.00123609,0.00370828,0.0457355,0.0803461
24510009-006,1884,0.876858,0.00265393,0.00159236,0.007431,0.0318471,0.0796178
24510009-007,1698,0.866902,0.00706714,0.00176678,0.00471143,0.0341578,0.0853946
24510009-008,1311,0.88177,0.00152555,0.00152555,0.00686499,0.0305111,0.0778032
24510009-009,840,0.82381,0.00714286,0.00119048,0.0047619,0.0333333,0.129762
24510009-010,1148,0.84669,0.00783972,0.00087108,0.00087108,0.043554,0.100174
24510009-011,301,0.827243,0,0,0.00664452,0.0564784,0.109635
24510009-012,1386,0.885281,0.000721501,0.000721501,0.0036075,0.0353535,0.0743146
24510009-013,514,0.875486,0.00194553,0.00194553,0.00583658,0.0447471,0.0700389
24510009-014,1406,0.857752,0.00213371,0.00355619,0.00497866,0.0362731,0.0953058
24510009-015,1596,0.867168,0.00250627,0.0037594,0.00438596,0.0319549,0.0902256
24510010-001,1047,0.886342,0.00382044,0.00286533,0.00764088,0.0276982,0.0716332
24510010-002,1153,0.903729,0.000867303,0.00173461,0.00520382,0.0251518,0.0633131
24510010-003,542,0.813653,0.00738007,0.00184502,0.00553506,0.0479705,0.123616
24510010-004,572,0.872378,0.00174825,0.00174825,0.00174825,0.0367133,0.0856643
24510011-001,1442,0.734397,0.00970874,0.00762829,0.00416089,0.0651872,0.178918
24510011-002,461,0.759219,0.00433839,0.00650759,0.010846,0.0542299,0.164859
24510011-003,1467,0.784594,0.0074983,0.00272665,0.00613497,0.0545331,0.144513
24510011-004,64,0.9375,0,0,0,0.015625,0.046875
24510011-005,1443,0.807346,0.003465,0.002772,0.00693001,0.043659,0.135828
24510011-006,2354,0.733645,0.0046729,0.00637213,0.00764656,0.0709431,0.17672
24510011-007,1355,0.718819,0.00516605,0.0110701,0.00516605,0.0619926,0.197786
24510012-001,2585,0.709091,0.0065764,0.00270793,0.00580271,0.103675,0.172147
24510012-002,245,0.665306,0.00408163,0.0122449,0.00408163,0.191837,0.122449
24510012-003,709,0.750353,0.0112835,0.00282087,0.00423131,0.0437236,0.187588
24510012-004,1479,0.702502,0.00676133,0.00676133,0.00135227,0.0635565,0.219067
24510012-005,1117,0.762757,0.0161146,0.00626679,0.00358102,0.0438675,0.167413
24510012-006,827,0.735187,0.0145103,0.00483676,0.00362757,0.050786,0.191052
24510012-007,1387,0.839942,0.00720981,0.0036049,0.00144196,0.0295602,0.118241
24510012-008,1294,0.782844,0.015456,0.00695518,0.00231839,0.0440495,0.148377
24510012-009,1641,0.723949,0.0115783,0.00365631,0.0127971,0.0877514,0.160268
24510012-010,1489,0.80994,0.00940228,0.00470114,0.00335796,0.051041,0.121558
24510012-011,957,0.827586,0.0031348,0.00104493,0.00626959,0.0397074,0.122257
24510012-012,1437,0.80515,0.00487126,0.00626305,0.00417537,0.0340988,0.145442
24510013-001,1221,0.747748,0.002457,0.002457,0.004914,0.0851761,0.157248
24510013-002,1162,0.722031,0.010327,0.00946644,0.00344234,0.10327,0.151463
24510013-003,2098,0.684461,0.0104862,0.0114395,0.00381316,0.101525,0.188275
24510013-004,1072,0.629664,0.0102612,0.00652985,0.00279851,0.170709,0.180037
24510013-005,865,0.67052,0.00809249,0.00924855,0.00231214,0.108671,0.201156
24510013-006,585,0.849573,0.0017094,0.00512821,0.0017094,0.0307692,0.111111
24510013-007,1358,0.869661,0.00147275,0.000736377,0.00736377,0.0346097,0.0861561
24510013-008,1649,0.854457,0.00303214,0.004245,0.00303214,0.0369921,0.0982414
24510013-009,1121,0.854594,0.0044603,0.0044603,0.00356824,0.0285459,0.104371
24510013-010,1467,0.832311,0.00545331,0.00272665,0.00477164,0.0388548,0.115883
24510013-011,1936,0.700413,0.00878099,0.00619835,0.00413223,0.101756,0.178719
24510013-012,1555,0.724759,0.00836013,0.00321543,0.00385852,0.0990354,0.160772
24510013-013,85,0.752941,0.0117647,0.0117647,0,0.0941176,0.129412
24510014-001,900,0.801111,0.00222222,0.00555556,0.00444444,0.0422222,0.144444
24510014-002,774,0.826873,0.00516796,0.00387597,0.0116279,0.0310078,0.121447
24510014-003,793,0.848676,0.00126103,0.00252207,0.00504414,0.0302648,0.112232
24510014-004,2184,0.863095,0.00412088,0.00228938,0.00503663,0.0416667,0.0837912
24510014-005,455,0.879121,0.0021978,0,0.0021978,0.0483516,0.0681319
24510015-001,1408,0.889205,0.00213068,0.000710227,0.00213068,0.0269886,0.0788352
24510015-002,846,0.898345,0,0.00118203,0.00472813,0.0248227,0.070922
24510015-003,2275,0.888791,0.00043956,0.00307692,0.00175824,0.0237363,0.0821978
24510015-004,755,0.875497,0.0013245,0.0013245,0.00397351,0.0384106,0.0794702
24510015-005,1160,0.889655,0.00172414,0.00172414,0.00344828,0.025,0.0784483
24510015-006,1656,0.888889,0.00181159,0.000603865,0.00543478,0.0241546,0.0791063
24510015-007,1331,0.886551,0.000751315,0.00450789,0.00375657,0.0270473,0.0773854
24510015-008,644,0.899068,0.0015528,0,0.00465839,0.0326087,0.0621118
24510015-009,2474,0.887227,0.00363783,0.00202102,0.00323363,0.0274859,0.0763945
24510015-010,1279,0.862392,0.00234558,0.00234558,0.00547303,0.0430023,0.084441
