7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
Six Points No. 46,1503,0.912833,0,0,0,0,0.0508475,0,0,
Aiken No. 47,1237,0.401747,0,0,0,0,0.576419,0,0,
Hammond No. 48,1110,0.343042,0,0,0,0,0.621359,0,0,
Willow Springs,1396,0.21547,0,0,0,0,0.751381,0,0,
Breezy Hill,2330,0.387879,0,0,0,0,0.577273,0,0,
Midland Valley No. 51,1918,0.318271,0,0,0,0,0.632613,0,0,
Levels No. 52,1555,0.426332,0,0,0,0,0.504702,0,0,
Hollow Creek,1394,0.228873,0,0,0,0,0.75,0,0,
N. Augusta No. 54,1329,0.585302,0,0,0,0,0.372703,0,0,
N. Augusta No. 55,1177,0.201439,0,0,0,0,0.755396,0,0,
Couchton,1432,0.395161,0,0,0,0,0.532258,0,0,
Redds Branch,1281,0.348101,0,0,0,0,0.601266,0,0,
Fox Creek No. 58,1771,0.223587,0,0,0,0,0.734644,0,0,
Pine Forest,1713,0.177866,0,0,0,0,0.772727,0,0,
Gem Lakes No. 60,1303,0.203922,0,0,0,0,0.752941,0,0,
Silver Bluff,1945,0.606007,0,0,0,0,0.358657,0,0,
Belvedere No. 62,1398,0.587013,0,0,0,0,0.371429,0,0,
Ascauga Lake No. 63,1051,0.344828,0,0,0,0,0.610345,0,0,
Cedar Creek No. 64,1797,0.183333,0,0,0,0,0.806667,0,0,
Sleepy Hollow No. 65,1971,0.1678,0,0,0,0,0.804989,0,0,
Hitchcock No. 66,1293,0.239837,0,0,0,0,0.735772,0,0,
N. Augusta No. 67,1302,0.169184,0,0,0,0,0.78852,0,0,
N. Augusta No. 68,2060,0.199324,0,0,0,0,0.765203,0,0,
Anderson Pond No. 69,1730,0.164345,0,0,0,0,0.805014,0,0,
Sandstone No. 70,1547,0.326923,0,0,0,0,0.634615,0,0,
Midland Valley No. 71,1950,0.288802,0,0,0,0,0.6778,0,0,
Levels No. 72,1006,0.419913,0,0,0,0,0.497835,0,0,
Fox Creek No. 73,1505,0.152062,0,0,0,0,0.81701,0,0,
Belvedere No. 74,791,0.301887,0,0,0,0,0.622642,0,0,
South Aiken No. 75,1777,0.301471,0,0,0,0,0.656863,0,0,
South Aiken No. 76,2144,0.209746,0,0,0,0,0.743644,0,0,
Gem Lakes No. 77,1562,0.162338,0,0,0,0,0.782468,0,0,
Montmorenci No. 78,961,0.376426,0,0,0,0,0.562738,0,0,
Sandstone No. 79,954,0.335404,0,0,0,0,0.639752,0,0,
N. Augusta No. 80,933,0.225532,0,0,0,0,0.714894,0,0,
Hammond No. 81,1111,0.396226,0,0,0,0,0.553459,0,0,
Windsor No. 82,1075,0.34139,0,0,0,0,0.564955,0,0,
Levels No. 83,781,0.4375,0,0,0,0,0.486111,0,0,
Ascauga Lake No. 84,1211,0.255034,0,0,0,0,0.721477,0,0,
ALLENDALE #1,1227,0.789474,0,0,0,0,0.177033,0,0,
ALLENDALE #2,1384,0.969565,0,0,0,0,0,0,0,
FAIRFAX #1,611,0.666667,0,0,0,0,0.253333,0,0,
FAIRFAX #2,1286,0.889205,0,0,0,0,0.0823864,0,0,
MARTIN,319,0.804878,0,0,0,0,0.162602,0,0,
SYCAMORE,346,0.351852,0,0,0,0,0.62037,0,0,
ULMER,218,0.463768,0,0,0,0,0.478261,0,0,
WOODS,945,0.752294,0,0,0,0,0.211009,0,0,
Appleton-Equinox,899,0.529954,0,0,0,0,0.400922,0,0,
Barker's Creek-McAdams,336,0.125,0,0,0,0,0.854167,0,0,
Belton,1831,0.281184,0,0,0,0,0.665962,0,0,
Broadview,642,0.705607,0,0,0,0,0.257009,0,0,
Bishop's Branch,1860,0.213115,0,0,0,0,0.739526,0,0,
Bowling Green,634,0.146893,0,0,0,0,0.813559,0,0,
Broadway,1306,0.395939,0,0,0,0,0.555838,0,0,
Brushy Creek,2161,0.149371,0,0,0,0,0.819182,0,0,
Cedar Grove,1340,0.196286,0,0,0,0,0.766578,0,0,
Centerville Station A,2710,0.239291,0,0,0,0,0.711965,0,0,
Chiquola Mill,712,0.477011,0,0,0,0,0.477011,0,0,
Concrete,2850,0.189024,0,0,0,0,0.77561,0,0,
Craytonville,964,0.0776699,0,0,0,0,0.893204,0,0,
Denver-Sandy Springs,1587,0.209459,0,0,0,0,0.739865,0,0,
Edgewood Station A,2134,0.394904,0,0,0,0,0.564756,0,0,
Five Forks,1454,0.247191,0,0,0,0,0.72809,0,0,
Flat Rock,1316,0.229219,0,0,0,0,0.700252,0,0,
Fork No.1,1316,0.205521,0,0,0,0,0.773006,0,0,
Fork No.2,1427,0.151741,0,0,0,0,0.79602,0,0,
Friendship,1059,0.206704,0,0,0,0,0.731844,0,0,
Gluck Mill,433,0.52381,0,0,0,0,0.404762,0,0,
Green Pond Station A,2461,0.22381,0,0,0,0,0.731746,0,0,
Grove School,551,0.131148,0,0,0,0,0.844262,0,0,
Hall,1405,0.274457,0,0,0,0,0.67663,0,0,
Hammond School,2240,0.225263,0,0,0,0,0.726316,0,0,
High Point,559,0.132075,0,0,0,0,0.836478,0,0,
Homeland Park,2594,0.4757,0,0,0,0,0.444772,0,0,
Honea Path,1382,0.214106,0,0,0,0,0.748111,0,0,
Hopewell,1530,0.193548,0,0,0,0,0.759531,0,0,
Iva,1560,0.220297,0,0,0,0,0.707921,0,0,
Jackson Mill,751,0.115789,0,0,0,0,0.815789,0,0,
La France,930,0.330317,0,0,0,0,0.624434,0,0,
Melton,625,0.263441,0,0,0,0,0.677419,0,0,
Mount Tabor,2306,0.253106,0,0,0,0,0.71118,0,0,
Mountain Creek,1256,0.284884,0,0,0,0,0.656977,0,0,
Neal's Creek,1906,0.391813,0,0,0,0,0.561404,0,0,
North Pointe,1682,0.146707,0,0,0,0,0.829341,0,0,
Pelzer,773,0.0948276,0,0,0,0,0.810345,0,0,
Pendleton,3022,0.472543,0,0,0,0,0.466763,0,0,
Piedmont,880,0.213675,0,0,0,0,0.726496,0,0,
Piercetown,1911,0.145719,0,0,0,0,0.808743,0,0,
Rock Mill,1140,0.157343,0,0,0,0,0.814685,0,0,
Rock Spring,792,0.318627,0,0,0,0,0.627451,0,0,
Shirley's Store,768,0.220408,0,0,0,0,0.742857,0,0,
Simpsonville,2492,0.145455,0,0,0,0,0.81958,0,0,
Starr,831,0.142857,0,0,0,0,0.792627,0,0,
Three and Twenty,2333,0.125348,0,0,0,0,0.846797,0,0,
Toney Creek,533,0.142857,0,0,0,0,0.818182,0,0,
Townville,732,0.137255,0,0,0,0,0.833333,0,0,
Town Creek,1616,0.174658,0,0,0,0,0.804795,0,0,
West Pelzer,1763,0.13278,0,0,0,0,0.838174,0,0,
West Savannah,301,0.340426,0,0,0,0,0.617021,0,0,
White Plains,2860,0.156542,0,0,0,0,0.795561,0,0,
Williamston,2241,0.237589,0,0,0,0,0.710993,0,0,
Williamston Mill,2735,0.161866,0,0,0,0,0.788752,0,0,
Wright's School,734,0.112613,0,0,0,0,0.842342,0,0,
Anderson 1/1,1659,0.353623,0,0,0,0,0.576812,0,0,
Anderson 1/2,1301,0.237354,0,0,0,0,0.723735,0,0,
Anderson 2/1,1375,0.263359,0,0,0,0,0.70229,0,0,
Anderson 2/2,2500,0.386064,0,0,0,0,0.564972,0,0,
Anderson 3/1,941,0.656085,0,0,0,0,0.275132,0,0,
Anderson 3/2,2542,0.754717,0,0,0,0,0.212938,0,0,
Anderson 4/1,776,0.820276,0,0,0,0,0.133641,0,0,
Anderson 4/2,827,0.932271,0,0,0,0,0.0438247,0,0,
Anderson 5/A,960,0.776824,0,0,0,0,0.171674,0,0,
Anderson 5/B,1389,0.859296,0,0,0,0,0.113065,0,0,
Anderson 6/1,1808,0.350543,0,0,0,0,0.581522,0,0,
Anderson 6/2,441,0.855072,0,0,0,0,0.0797101,0,0,
Varennes,1291,0.461318,0,0,0,0,0.484241,0,0,
Lakeside,2445,0.483516,0,0,0,0,0.469388,0,0,
Centerville Station B,2738,0.305344,0,0,0,0,0.635115,0,0,
Edgewood Station B,2034,0.230599,0,0,0,0,0.742794,0,0,
Cox's Creek,1198,0.191011,0,0,0,0,0.764045,0,0,
Mt. Airy,2266,0.136701,0,0,0,0,0.84101,0,0,
Belton Annex,1802,0.273101,0,0,0,0,0.675565,0,0,
Powdersville,2845,0.225455,0,0,0,0,0.738182,0,0,
Glenview,1886,0.333333,0,0,0,0,0.600939,0,0,
Hammond Annex,1892,0.213816,0,0,0,0,0.733553,0,0,
Center Rock,2284,0.224832,0,0,0,0,0.733221,0,0,
Hunt Meadows,3852,0.141856,0,0,0,0,0.835377,0,0,
COLSTON,191,0.403846,0,0,0,0,0.557692,0,0,
EDISTO,315,0.333333,0,0,0,0,0.641026,0,0,
EHRHARDT,757,0.545082,0,0,0,0,0.418033,0,0,
EAST DENMARK,2261,0.886228,0,0,0,0,0.0973054,0,0,
GOVAN,174,0.78125,0,0,0,0,0.203125,0,0,
HIGHTOWERS MILL,93,0.848485,0,0,0,0,0.151515,0,0,
HUNTER'S CHAPEL,204,0.526882,0,0,0,0,0.462366,0,0,
KEARSE,110,0.0526316,0,0,0,0,0.921053,0,0,
LITTLE SWAMP,132,0.153846,0,0,0,0,0.846154,0,0,
OLAR,342,0.542636,0,0,0,0,0.426357,0,0,
SOUTH BAMBERG,2406,0.810467,0,0,0,0,0.155587,0,0,
WEST DENMARK,1278,0.911321,0,0,0,0,0.0735849,0,0,
NORTH BAMBERG,1935,0.62256,0,0,0,0,0.35141,0,0,
BARNWELL 1,703,0.601064,0,0,0,0,0.340426,0,0,
BARNWELL 2,1485,0.45641,0,0,0,0,0.5,0,0,
BARNWELL 3,1653,0.503597,0,0,0,0,0.441247,0,0,
BARNWELL 4,1408,0.726257,0,0,0,0,0.243017,0,0,
BLACKVILLE 1,980,0.781609,0,0,0,0,0.186782,0,0,
BLACKVILLE 2,593,0.775701,0,0,0,0,0.186916,0,0,
ELKO,566,0.527094,0,0,0,0,0.44335,0,0,
FRIENDSHIP,590,0.0736842,0,0,0,0,0.889474,0,0,
KLINE,586,0.5,0,0,0,0,0.47561,0,0,
HEALING SPRINGS,866,0.843023,0,0,0,0,0.136628,0,0,
HILDA,827,0.122605,0,0,0,0,0.842912,0,0,
SNELLING,1247,0.555556,0,0,0,0,0.420054,0,0,
WILLISTON 1,1420,0.738589,0,0,0,0,0.246888,0,0,
WILLISTON 2,605,0.391061,0,0,0,0,0.575419,0,0,
WILLISTON 3,843,0.42807,0,0,0,0,0.529825,0,0,
BEAUFORT 1,1222,0.629268,0,0,0,0,0.282927,0,0,
BEAUFORT 2,1235,0.353659,0,0,0,0,0.560976,0,0,
BEAUFORT 3,1520,0.265625,0,0,0,0,0.651042,0,0,
BURTON 1A,1990,0.34072,0,0,0,0,0.601108,0,0,
BURTON 1B,1385,0.787162,0,0,0,0,0.165541,0,0,
BURTON 1C,1847,0.506173,0,0,0,0,0.438272,0,0,
BURTON 2A,1682,0.307453,0,0,0,0,0.618012,0,0,
BURTON 2B,1939,0.42369,0,0,0,0,0.501139,0,0,
BURTON 2C,1902,0.255814,0,0,0,0,0.687339,0,0,
BURTON 3,799,0.577181,0,0,0,0,0.33557,0,0,
CHECHESSEE 1,1679,0.248663,0,0,0,0,0.705882,0,0,
CHECHESSEE 2,1622,0.240793,0,0,0,0,0.733711,0,0,
Ladys Island 1A,1618,0.365994,0,0,0,0,0.550432,0,0,
Ladys Island 1B,1584,0.429907,0,0,0,0,0.535826,0,0,
Ladys Island 2A,1750,0.195513,0,0,0,0,0.75,0,0,
Ladys Island 2B,1074,0.26,0,0,0,0,0.688,0,0,
Ladys Island 3A,944,0.292683,0,0,0,0,0.673171,0,0,
Ladys Island 3B,1145,0.227273,0,0,0,0,0.736364,0,0,
Mossy Oaks 1A,1056,0.274775,0,0,0,0,0.684685,0,0,
Mossy Oaks 1B,1313,0.236515,0,0,0,0,0.701245,0,0,
Mossy Oaks 2,1390,0.375,0,0,0,0,0.556034,0,0,
PORT ROYAL 1,1299,0.432,0,0,0,0,0.492,0,0,
PORT ROYAL 2,1521,0.50996,0,0,0,0,0.418327,0,0,
DALE LOBECO,1236,0.719403,0,0,0,0,0.244776,0,0,
SEABROOK 1,1265,0.494382,0,0,0,0,0.453184,0,0,
SEABROOK 2,1016,0.746269,0,0,0,0,0.205224,0,0,
SEABROOK 3,1488,0.592326,0,0,0,0,0.359712,0,0,
SHELDON 1,1149,0.590643,0,0,0,0,0.383041,0,0,
SHELDON 2,895,0.912879,0,0,0,0,0.0606061,0,0,
BURTON 1D,1311,0.387978,0,0,0,0,0.546448,0,0,
Saint Helena 1A,1479,0.84507,0,0,0,0,0.138028,0,0,
Saint Helena 1B,1450,0.819071,0,0,0,0,0.158924,0,0,
Saint Helena 1C,1508,0.188854,0,0,0,0,0.786378,0,0,
Saint Helena 2A,1390,0.597561,0,0,0,0,0.371951,0,0,
Saint Helena 2B,1386,0.756757,0,0,0,0,0.2,0,0,
Saint Helena 2C,1163,0.225806,0,0,0,0,0.756272,0,0,
Ladys Island 2C,983,0.305936,0,0,0,0,0.607306,0,0,
Ladys Island 3C,1201,0.252336,0,0,0,0,0.686916,0,0,
DAUFUSKIE,436,0.265487,0,0,0,0,0.716814,0,0,
HILTON HEAD 1A,1377,0.462687,0,0,0,0,0.456716,0,0,
HILTON HEAD 1B,1284,0.473154,0,0,0,0,0.483221,0,0,
HILTON HEAD 2A,1602,0.4325,0,0,0,0,0.535,0,0,
HILTON HEAD 2B,1720,0.554124,0,0,0,0,0.324742,0,0,
HILTON HEAD 2C,1582,0.199005,0,0,0,0,0.793532,0,0,
HILTON HEAD 3,798,0.185714,0,0,0,0,0.77619,0,0,
HILTON HEAD 4A,875,0.233696,0,0,0,0,0.73913,0,0,
HILTON HEAD 4B,1356,0.248634,0,0,0,0,0.724044,0,0,
HILTON HEAD 4C,1113,0.339552,0,0,0,0,0.626866,0,0,
HILTON HEAD 4D,1201,0.271429,0,0,0,0,0.7,0,0,
HILTON HEAD 5A,1107,0.248299,0,0,0,0,0.714286,0,0,
HILTON HEAD 5B,1066,0.241245,0,0,0,0,0.731518,0,0,
HILTON HEAD 5C,953,0.269388,0,0,0,0,0.697959,0,0,
HILTON HEAD 6,1398,0.231707,0,0,0,0,0.737805,0,0,
HILTON HEAD 7A,1510,0.289902,0,0,0,0,0.664495,0,0,
HILTON HEAD 7B,1380,0.288401,0,0,0,0,0.680251,0,0,
HILTON HEAD 8,993,0.274336,0,0,0,0,0.654867,0,0,
HILTON HEAD 9A,1769,0.29156,0,0,0,0,0.649616,0,0,
HILTON HEAD 9B,1410,0.116095,0,0,0,0,0.868074,0,0,
HILTON HEAD 10,1614,0.381295,0,0,0,0,0.585132,0,0,
HILTON HEAD 11,1246,0.236559,0,0,0,0,0.738351,0,0,
HILTON HEAD 12,876,0.332016,0,0,0,0,0.656126,0,0,
HILTON HEAD 13,1445,0.313333,0,0,0,0,0.596667,0,0,
HILTON HEAD 14,1030,0.194215,0,0,0,0,0.77686,0,0,
HILTON HEAD 15A,645,0.248227,0,0,0,0,0.737589,0,0,
HILTON HEAD 15B,966,0.173387,0,0,0,0,0.810484,0,0,
BELFAIR,2197,0.204678,0,0,0,0,0.750487,0,0,
Bluffton 1A,1624,0.446875,0,0,0,0,0.46875,0,0,
Bluffton 1B,1063,0.350711,0,0,0,0,0.578199,0,0,
Bluffton 1C,2000,0.245614,0,0,0,0,0.687135,0,0,
Bluffton 1D,1835,0.416667,0,0,0,0,0.509615,0,0,
Bluffton 2A,1389,0.336134,0,0,0,0,0.60084,0,0,
Bluffton 2B,1683,0.404167,0,0,0,0,0.5125,0,0,
Bluffton 2C,2590,0.246548,0,0,0,0,0.682446,0,0,
MOSS CREEK,1692,0.26,0,0,0,0,0.708889,0,0,
Bluffton 3,1083,0.168421,0,0,0,0,0.794737,0,0,
Bluffton 4A,1175,0.176829,0,0,0,0,0.79878,0,0,
Bluffton 4B,1773,0.234323,0,0,0,0,0.726073,0,0,
Bluffton 4C,2344,0.385167,0,0,0,0,0.547847,0,0,
Bluffton 5A,1374,0.211155,0,0,0,0,0.772908,0,0,
Bluffton 2D,2400,0.243289,0,0,0,0,0.692953,0,0,
Bluffton 2E,1518,0.512658,0,0,0,0,0.427215,0,0,
ROSE HILL,1759,0.185629,0,0,0,0,0.790419,0,0,
Bluffton 4D,1582,0.21,0,0,0,0,0.763333,0,0,
Bluffton 5B,1409,0.340708,0,0,0,0,0.588496,0,0,
SUN CITY 1,1589,0.230088,0,0,0,0,0.731563,0,0,
SUN CITY 2,1276,0.257642,0,0,0,0,0.720524,0,0,
SUN CITY 3,1797,0.284483,0,0,0,0,0.678161,0,0,
SUN CITY 4,1474,0.278884,0,0,0,0,0.689243,0,0,
SUN CITY 5,1497,0.2397,0,0,0,0,0.734082,0,0,
SUN CITY 6,1502,0.241667,0,0,0,0,0.733333,0,0,
SUN CITY 7,1253,0.285714,0,0,0,0,0.664093,0,0,
SUN CITY 8,1780,0.292063,0,0,0,0,0.666667,0,0,
Alvin,916,0.684343,0,0,0,0,0.277778,0,0,
Bethera,210,0.0659341,0,0,0,0,0.868132,0,0,
Bonneau,1211,0.386534,0,0,0,0,0.591022,0,0,
Bonneau Beach,1538,0.218437,0,0,0,0,0.757515,0,0,
Central,2516,0.39738,0,0,0,0,0.54294,0,0,
Cainhoy,1057,0.864368,0,0,0,0,0.124138,0,0,
Carnes Cross Road 1,2583,0.11039,0,0,0,0,0.832468,0,0,
Carnes Cross Road 2,1266,0.39322,0,0,0,0,0.589831,0,0,
Cordesville,1219,0.379009,0,0,0,0,0.568513,0,0,
Cross,1189,0.510386,0,0,0,0,0.462908,0,0,
Daniel Island 1,1330,0.161616,0,0,0,0,0.80303,0,0,
Daniel Island 2,1518,0.328165,0,0,0,0,0.627907,0,0,
Devon Forest 1,2282,0.358423,0,0,0,0,0.569892,0,0,
Devon Forest 2,1733,0.34009,0,0,0,0,0.596847,0,0,
Eadytown,744,0.746032,0,0,0,0,0.230159,0,0,
Hanahan 1,2334,0.189655,0,0,0,0,0.760345,0,0,
Hanahan 2,1490,0.409396,0,0,0,0,0.543624,0,0,
Hanahan 3,1497,0.257225,0,0,0,0,0.682081,0,0,
Hanahan 4,1610,0.448,0,0,0,0,0.48,0,0,
Hilton Cross Rd,1572,0.575342,0,0,0,0,0.381605,0,0,
Huger,1214,0.720455,0,0,0,0,0.254545,0,0,
Jamestown,538,0.615385,0,0,0,0,0.346154,0,0,
Lebanon,688,0.169565,0,0,0,0,0.769565,0,0,
Macedonia,1757,0.0702341,0,0,0,0,0.871237,0,0,
McBeth,966,0.370253,0,0,0,0,0.588608,0,0,
Moncks Corner 1,1877,0.432802,0,0,0,0,0.526196,0,0,
Moncks Corner 2,1692,0.506912,0,0,0,0,0.428571,0,0,
Moncks Corner 3,2220,0.529851,0,0,0,0,0.43097,0,0,
Moncks Corner 4,1584,0.24031,0,0,0,0,0.709302,0,0,
Pimlico,2791,0.28024,0,0,0,0,0.656287,0,0,
Pinopolis,1815,0.170213,0,0,0,0,0.797872,0,0,
Russellville,1440,0.848558,0,0,0,0,0.110577,0,0,
Sangaree 1,1255,0.351613,0,0,0,0,0.56129,0,0,
Sangaree 2,1699,0.357995,0,0,0,0,0.591885,0,0,
Sangaree 3,1420,0.353846,0,0,0,0,0.566667,0,0,
Shulerville,342,0.522581,0,0,0,0,0.43871,0,0,
St. Stephen 1,1529,0.87251,0,0,0,0,0.10757,0,0,
St. Stephen 2,1505,0.567442,0,0,0,0,0.397674,0,0,
Stratford 1,1864,0.41978,0,0,0,0,0.514286,0,0,
Stratford 2,1802,0.247826,0,0,0,0,0.723913,0,0,
Stratford 3,2167,0.401515,0,0,0,0,0.535985,0,0,
Stratford 4,1777,0.363057,0,0,0,0,0.545648,0,0,
Wassamassaw 1,1001,0.572016,0,0,0,0,0.390947,0,0,
Wassamassaw 2,2310,0.350559,0,0,0,0,0.613128,0,0,
Westview 1,1460,0.224138,0,0,0,0,0.729885,0,0,
Westview 2,1886,0.291262,0,0,0,0,0.660194,0,0,
Westview 3,1715,0.266811,0,0,0,0,0.681128,0,0,
Beverly Hills,1329,0.509569,0,0,0,0,0.413876,0,0,
Howe Hall 1,2197,0.57596,0,0,0,0,0.357262,0,0,
Howe Hall 2,1194,0.463127,0,0,0,0,0.430678,0,0,
Liberty Hall,2184,0.467337,0,0,0,0,0.450586,0,0,
Medway,3468,0.47983,0,0,0,0,0.432059,0,0,
Whitesville 1,2359,0.405605,0,0,0,0,0.533923,0,0,
Whitesville 2,1430,0.230404,0,0,0,0,0.724466,0,0,
Daniel Island 3,1668,0.275676,0,0,0,0,0.689189,0,0,
Daniel Island 4,2216,0.242806,0,0,0,0,0.710432,0,0,
The Village,2125,0.202003,0,0,0,0,0.759599,0,0,
Yellow House,1725,0.450116,0,0,0,0,0.515081,0,0,
Cane Bay,3995,0.265144,0,0,0,0,0.67428,0,0,
Discovery,1650,0.415449,0,0,0,0,0.517745,0,0,
Fox Bank,1624,0.358717,0,0,0,0,0.581162,0,0,
Hanahan 5,1363,0.171429,0,0,0,0,0.780952,0,0,
Moultrie,1449,0.823651,0,0,0,0,0.147303,0,0,
Old 52,1207,0.402778,0,0,0,0,0.532407,0,0,
Royle,1381,0.364116,0,0,0,0,0.577836,0,0,
Seventy Eight,1672,0.390173,0,0,0,0,0.543353,0,0,
Stone Lake,1389,0.260417,0,0,0,0,0.705729,0,0,
Stratford 5,1458,0.45641,0,0,0,0,0.448718,0,0,
Westview 4,1538,0.285714,0,0,0,0,0.663438,0,0,
Foster Creek 1,1203,0.329897,0,0,0,0,0.618557,0,0,
Foster Creek 2,1719,0.373786,0,0,0,0,0.584951,0,0,
Foster Creek 3,1506,0.382271,0,0,0,0,0.556787,0,0,
Harbour Lake,2068,0.665399,0,0,0,0,0.271863,0,0,
St. James,1575,0.392777,0,0,0,0,0.541761,0,0,
Sedgefield 1,1584,0.443946,0,0,0,0,0.486547,0,0,
Sedgefield 2,1426,0.422383,0,0,0,0,0.512635,0,0,
Tramway,1703,0.349593,0,0,0,0,0.589431,0,0,
Weatherstone,1747,0.40678,0,0,0,0,0.532688,0,0,
BETHEL,978,0.370079,0,0,0,0,0.586614,0,0,
CAMERON,725,0.705314,0,0,0,0,0.26087,0,0,
CENTER HILL,1178,0.63388,0,0,0,0,0.322404,0,0,
CRESTON,219,0.542857,0,0,0,0,0.442857,0,0,
DIXIE,2249,0.849088,0,0,0,0,0.131012,0,0,
FALL BRANCH,516,0.55414,0,0,0,0,0.420382,0,0,
FORT MOTTE,273,0.696203,0,0,0,0,0.265823,0,0,
LONE STAR,1101,0.553459,0,0,0,0,0.424528,0,0,
MIDWAY,315,0.36,0,0,0,0,0.63,0,0,
MURPH MILL,466,0.64,0,0,0,0,0.352,0,0,
SANDY RUN,1621,0.285417,0,0,0,0,0.679167,0,0,
ST. MATTHEWS,1510,0.628319,0,0,0,0,0.359882,0,0,
AWENDAW,1341,0.629534,0,0,0,0,0.349741,0,0,
CHRIST CHURCH,955,0.618182,0,0,0,0,0.352727,0,0,
ISLE OF PALMS 1A,1121,0.236607,0,0,0,0,0.700893,0,0,
ISLE OF PALMS 1B,1489,0.246667,0,0,0,0,0.706667,0,0,
ISLE OF PALMS 1C,1632,0.207612,0,0,0,0,0.761246,0,0,
SULLIVANS ISLAND,1705,0.357616,0,0,0,0,0.592715,0,0,
MCCLELLANVILLE,1720,0.754545,0,0,0,0,0.223636,0,0,
DEER PARK 1A,1418,0.608833,0,0,0,0,0.293375,0,0,
